SensorID,start,end,MaxReading
SET41,2019-02-05 10:10:00,2019-02-05 10:25:00,37.7
SET41,2019-02-05 10:25:00,2019-02-05 10:40:00,37.2
SET41,2019-02-05 09:40:00,2019-02-05 09:55:00,36.2
SET41,2019-02-05 09:45:00,2019-02-05 10:00:00,36.5
SET41,2019-02-05 10:00:00,2019-02-05 10:15:00,36.8
SET41,2019-02-05 10:20:00,2019-02-05 10:35:00,37.7
SET41,2019-02-05 10:15:00,2019-02-05 10:30:00,37.7
SET41,2019-02-05 10:05:00,2019-02-05 10:20:00,36.5
SET41,2019-02-05 09:50:00,2019-02-05 10:05:00,36.8
SET41,2019-02-05 09:55:00,2019-02-05 10:10:00,36.8
